feature,is_core_signal,expected_high_minus_low_sign,non_null_rows,coverage,months_non_null,mean_value,median_value,min_value,max_value
owner_count,True,not_prespecified,1509894,1.0,303,143.94240787763908,59.0,1.0,5890.0
owner_hhi,True,negative,1509894,1.0,303,0.26925457261033686,0.1028955607216189,0.011616200850679015,1.0
top_owner_share,True,negative,1509894,1.0,303,0.36108034289639895,0.21519989875892565,0.033496395743963604,1.0
fragility_proxy,True,negative,1509894,1.0,303,0.02621216971814791,0.01840154588458103,0.0007493096681665929,1.0
avg_manager_breadth,True,not_prespecified,1509894,1.0,303,1478.6533773536758,1480.8584779706275,1.0,5916.0
stock_sell_pressure,True,negative,1509894,1.0,303,0.8747430779143601,0.00862961684501208,0.0,680919.0
network_degree,True,negative,1509894,1.0,303,3913.2792341714053,3999.0,0.0,6639.0
network_weighted_degree,True,negative,1509894,1.0,303,0.7077793877752048,0.09082255807675853,0.0,468.6319465250709
network_peer_sell_pressure,True,negative,1509894,1.0,303,0.2926114133069716,0.054903059792402016,0.0,18810.40187979192
mktcap_proxy,False,not_prespecified,1257367,0.8327518355593174,298,5319588.305701908,386200.0,83.55000000000001,3785304395.66
vol,False,not_prespecified,1264390,0.8374031554532967,298,225680.7805170873,38408.0,0.0,201242689.0
