feature,target,expected_high_minus_low_sign,n_months,mean_rank_ic,t_rank_ic,positive_month_rate_rank_ic,mean_directional_ic,t_directional_ic
owner_hhi,fwd_ret_1m,negative,297,-0.06540908946452817,-12.363723278987766,0.21212121212121213,0.06540908946452817,12.363723278987766
top_owner_share,fwd_ret_1m,negative,297,-0.06091565346002486,-12.330419845142988,0.2053872053872054,0.06091565346002486,12.330419845142988
network_weighted_degree,fwd_ret_1m,negative,297,0.06288159439210149,11.602046427287775,0.7878787878787878,-0.06288159439210149,-11.602046427287775
avg_manager_breadth,fwd_ret_1m,not_prespecified,297,-0.0551776378252864,-11.429349639760396,0.2356902356902357,-0.0551776378252864,-11.429349639760396
owner_count,fwd_ret_1m,not_prespecified,297,0.0626094558878123,10.916600707943562,0.7474747474747475,0.0626094558878123,10.916600707943562
network_degree,fwd_ret_1m,negative,297,0.054698208858034954,10.441460108688068,0.7407407407407407,-0.054698208858034954,-10.441460108688068
mktcap_proxy,fwd_ret_1m,not_prespecified,297,0.06075329910746407,9.915350148595259,0.7407407407407407,0.06075329910746407,9.915350148595259
network_peer_sell_pressure,fwd_ret_1m,negative,296,-0.02645848967078611,-4.713688705147913,0.38513513513513514,0.02645848967078611,4.713688705147913
fragility_proxy,fwd_ret_1m,negative,297,0.006274513211012346,2.0330369404961015,0.5454545454545454,-0.006274513211012346,-2.0330369404961015
vol,fwd_ret_1m,not_prespecified,297,0.003599669508264498,0.5538447303379094,0.5117845117845118,0.003599669508264498,0.5538447303379094
stock_sell_pressure,fwd_ret_1m,negative,296,0.0002640197078065965,0.04450972700862447,0.4966216216216216,-0.0002640197078065965,-0.04450972700862447
top_owner_share,fwd_ret_3m,negative,295,-0.07672680801443905,-15.475024781575259,0.15932203389830507,0.07672680801443905,15.475024781575259
owner_hhi,fwd_ret_3m,negative,295,-0.0826009357268602,-15.403790689233187,0.1694915254237288,0.0826009357268602,15.403790689233187
avg_manager_breadth,fwd_ret_3m,not_prespecified,295,-0.06824779362342598,-14.506377295503508,0.1864406779661017,-0.06824779362342598,-14.506377295503508
network_weighted_degree,fwd_ret_3m,negative,295,0.0776749551190057,14.337142024480555,0.8067796610169492,-0.0776749551190057,-14.337142024480555
network_degree,fwd_ret_3m,negative,295,0.07145785767232514,14.241066048553483,0.8101694915254237,-0.07145785767232514,-14.241066048553483
owner_count,fwd_ret_3m,not_prespecified,295,0.07859554190122178,13.992159099784296,0.8033898305084746,0.07859554190122178,13.992159099784296
mktcap_proxy,fwd_ret_3m,not_prespecified,295,0.07246707051576515,11.833136947799176,0.7694915254237288,0.07246707051576515,11.833136947799176
network_peer_sell_pressure,fwd_ret_3m,negative,294,-0.04025126787830946,-6.846888015867773,0.3741496598639456,0.04025126787830946,6.846888015867773
stock_sell_pressure,fwd_ret_3m,negative,294,-0.016342348150009508,-3.0387681821012893,0.43197278911564624,0.016342348150009508,3.0387681821012893
fragility_proxy,fwd_ret_3m,negative,295,0.0067295581846327935,2.269901642326987,0.5830508474576271,-0.0067295581846327935,-2.269901642326987
vol,fwd_ret_3m,not_prespecified,295,-0.005608824803834567,-0.9575246702077873,0.511864406779661,-0.005608824803834567,-0.9575246702077873
