feature,target,expected_high_minus_low_sign,n_months,mean_high_minus_low,annualized_high_minus_low,t_high_minus_low,positive_month_rate_high_minus_low,mean_directional_spread,annualized_directional_spread,t_directional_spread
stock_sell_pressure,fwd_ret_1m,negative,297,0.011652100792964007,0.1398252095155681,2.593534959899563,0.531986531986532,-0.011652100792964007,-0.1398252095155681,-2.593534959899563
mktcap_proxy,fwd_ret_1m,not_prespecified,297,-0.01085667899615088,-0.13028014795381057,-2.443798147686568,0.5252525252525253,-0.01085667899615088,-0.13028014795381057,-2.443798147686568
network_degree,fwd_ret_1m,negative,297,0.004689185250971536,0.05627022301165843,1.853368507749949,0.6127946127946128,-0.004689185250971536,-0.05627022301165843,-1.853368507749949
owner_hhi,fwd_ret_1m,negative,297,-0.0048962571089450424,-0.05875508530734051,-1.702302615621364,0.39057239057239057,0.0048962571089450424,0.05875508530734051,1.702302615621364
top_owner_share,fwd_ret_1m,negative,297,-0.004554990600858553,-0.05465988721030264,-1.6472160596209366,0.3939393939393939,0.004554990600858553,0.05465988721030264,1.6472160596209366
owner_count,fwd_ret_1m,not_prespecified,297,0.004715304361640342,0.0565836523396841,1.587567937353517,0.5959595959595959,0.004715304361640342,0.0565836523396841,1.587567937353517
network_peer_sell_pressure,fwd_ret_1m,negative,297,-0.004155196142354192,-0.049862353708250304,-1.3741423337271215,0.45454545454545453,0.004155196142354192,0.049862353708250304,1.3741423337271215
vol,fwd_ret_1m,not_prespecified,297,-0.004041334666391767,-0.048496015996701204,-1.2668547559705308,0.4713804713804714,-0.004041334666391767,-0.048496015996701204,-1.2668547559705308
avg_manager_breadth,fwd_ret_1m,not_prespecified,297,-0.0025773020268722406,-0.030927624322466887,-0.9659975052693701,0.43097643097643096,-0.0025773020268722406,-0.030927624322466887,-0.9659975052693701
fragility_proxy,fwd_ret_1m,negative,297,0.0010687853810996766,0.01282542457319612,0.7111966791456464,0.49158249158249157,-0.0010687853810996766,-0.01282542457319612,-0.7111966791456464
network_weighted_degree,fwd_ret_1m,negative,297,0.000989383153779735,0.01187259784535682,0.2744128690460357,0.5723905723905723,-0.000989383153779735,-0.01187259784535682,-0.2744128690460357
network_degree,fwd_ret_3m,negative,295,0.017359255075857914,0.20831106091029497,3.6714731677780015,0.6508474576271186,-0.017359255075857914,-0.20831106091029497,-3.6714731677780015
owner_hhi,fwd_ret_3m,negative,295,-0.016327859288991584,-0.19593431146789902,-2.9176847429041386,0.3525423728813559,0.016327859288991584,0.19593431146789902,2.9176847429041386
top_owner_share,fwd_ret_3m,negative,295,-0.014891533646094034,-0.1786984037531284,-2.8107566941082314,0.3694915254237288,0.014891533646094034,0.1786984037531284,2.8107566941082314
mktcap_proxy,fwd_ret_3m,not_prespecified,295,-0.02260789195092563,-0.27129470341110756,-2.764204078736078,0.49491525423728816,-0.02260789195092563,-0.27129470341110756,-2.764204078736078
owner_count,fwd_ret_3m,not_prespecified,295,0.016418014779723843,0.1970161773566861,2.759005698700186,0.6169491525423729,0.016418014779723843,0.1970161773566861,2.759005698700186
vol,fwd_ret_3m,not_prespecified,295,-0.01382959647893088,-0.16595515774717057,-2.7053698288800487,0.4067796610169492,-0.01382959647893088,-0.16595515774717057,-2.7053698288800487
avg_manager_breadth,fwd_ret_3m,not_prespecified,295,-0.01068886651432645,-0.1282663981719174,-2.304119827721388,0.3898305084745763,-0.01068886651432645,-0.1282663981719174,-2.304119827721388
network_peer_sell_pressure,fwd_ret_3m,negative,295,-0.009869394000388106,-0.11843272800465728,-1.8668144634524366,0.45084745762711864,0.009869394000388106,0.11843272800465728,1.8668144634524366
fragility_proxy,fwd_ret_3m,negative,295,0.0035640774235030544,0.04276892908203665,1.3121402386148264,0.5627118644067797,-0.0035640774235030544,-0.04276892908203665,-1.3121402386148264
network_weighted_degree,fwd_ret_3m,negative,295,0.008931548408247225,0.1071785808989667,1.2676591968097306,0.6101694915254238,-0.008931548408247225,-0.1071785808989667,-1.2676591968097306
stock_sell_pressure,fwd_ret_3m,negative,295,0.005350580634180359,0.06420696761016431,0.8513251065019795,0.4745762711864407,-0.005350580634180359,-0.06420696761016431,-0.8513251065019795
