,owner_count,owner_hhi,top_owner_share,fragility_proxy,avg_manager_breadth,stock_sell_pressure,network_degree,network_weighted_degree,network_peer_sell_pressure,mktcap_proxy,vol,fwd_ret_1m,fwd_ret_3m
owner_count,1.0,-0.8937484713070976,-0.8589475484916159,0.15226887597684105,-0.28260866258988465,0.26926435921756225,0.8527531687160376,0.8978971589635536,0.10121805084294422,0.834938604385785,0.6811603167791033,0.05757405815799863,0.07138658857425072
owner_hhi,-0.8937484713070976,1.0,0.9764821723738205,-0.08415547280456097,0.19732586772592822,-0.2716882340906706,-0.8332499583907688,-0.777913864996096,-0.14819338470832252,-0.6317325894081585,-0.5247932704690363,-0.06381023416721357,-0.08056230823287425
top_owner_share,-0.8589475484916159,0.9764821723738205,1.0,-0.07355010838618561,0.1815363543489606,-0.26319842829344947,-0.7910544541514499,-0.7522255353527704,-0.14464523854384984,-0.5859326184487204,-0.4798304499650491,-0.05991316330151181,-0.07490717576489724
fragility_proxy,0.15226887597684105,-0.08415547280456097,-0.07355010838618561,1.0,-0.47423514534704336,-0.008658674090783724,0.04140010102980204,0.2866259127184583,-0.0074768837585064574,0.24775565328847796,0.3067776263298902,0.005591041966039366,0.004965778736241208
avg_manager_breadth,-0.28260866258988465,0.19732586772592822,0.1815363543489606,-0.47423514534704336,1.0,0.15223006896530153,-0.04477024475292826,-0.3646125173550651,0.09585153207146199,-0.7322158007620958,-0.6278191763366351,-0.046011306875226074,-0.05758527326753553
stock_sell_pressure,0.26926435921756225,-0.2716882340906706,-0.26319842829344947,-0.008658674090783724,0.15223006896530153,1.0,0.28013942114630447,0.1902391163249487,0.22423207421300112,-0.04075491521309865,0.10343832245415188,0.0026582918944112817,-0.012561399562157821
network_degree,0.8527531687160376,-0.8332499583907688,-0.7910544541514499,0.04140010102980204,-0.04477024475292826,0.28013942114630447,1.0,0.7144563901226223,0.1088539474216823,0.5677761804558751,0.4567356905807477,0.057257923892098765,0.07223934292485727
network_weighted_degree,0.8978971589635536,-0.777913864996096,-0.7522255353527704,0.2866259127184583,-0.3646125173550651,0.1902391163249487,0.7144563901226223,1.0,0.08645839158421403,0.8250303062388789,0.649476837328705,0.052326638510383786,0.06625684728574749
network_peer_sell_pressure,0.10121805084294422,-0.14819338470832252,-0.14464523854384984,-0.0074768837585064574,0.09585153207146199,0.22423207421300112,0.1088539474216823,0.08645839158421403,1.0,-0.0948057447248638,0.06759814006527033,-0.02166786341426372,-0.034879301603772
mktcap_proxy,0.834938604385785,-0.6317325894081585,-0.5859326184487204,0.24775565328847796,-0.7322158007620958,-0.04075491521309865,0.5677761804558751,0.8250303062388789,-0.0948057447248638,1.0,0.704581048732989,0.04350005637074087,0.05804326300421834
vol,0.6811603167791033,-0.5247932704690363,-0.4798304499650491,0.3067776263298902,-0.6278191763366351,0.10343832245415188,0.4567356905807477,0.649476837328705,0.06759814006527033,0.704581048732989,1.0,0.000213326376310166,-0.005161359555150086
fwd_ret_1m,0.05757405815799863,-0.06381023416721357,-0.05991316330151181,0.005591041966039366,-0.046011306875226074,0.0026582918944112817,0.057257923892098765,0.052326638510383786,-0.02166786341426372,0.04350005637074087,0.000213326376310166,1.0,0.5475163350960139
fwd_ret_3m,0.07138658857425072,-0.08056230823287425,-0.07490717576489724,0.004965778736241208,-0.05758527326753553,-0.012561399562157821,0.07223934292485727,0.06625684728574749,-0.034879301603772,0.05804326300421834,-0.005161359555150086,0.5475163350960139,1.0
